🌏｜央卫频道,#genre#
CCTV1,http://120.238.5.44:1698/hls/17/index.m3u8
CCTV2,http://120.238.5.44:1698/hls/18/index.m3u8
CCTV3,http://120.238.5.44:1698/hls/19/index.m3u8
CCTV4,http://120.238.5.44:1698/hls/20/index.m3u8
CCTV5,http://120.238.5.44:1698/hls/21/index.m3u8
CCTV5+,http://120.238.5.44:1698/hls/22/index.m3u8
CCTV6,http://120.238.5.44:1698/hls/23/index.m3u8
CCTV7,http://120.238.5.44:1698/hls/68/index.m3u8
CCTV8,http://120.238.5.44:1698/hls/24/index.m3u8
CCTV9,http://120.238.5.44:1698/hls/74/index.m3u8
CCTV10,http://120.238.5.44:1698/hls/71/index.m3u8
CCTV11,http://120.238.5.44:1698/hls/25/index.m3u8
CCTV12,http://120.238.5.44:1698/hls/26/index.m3u8
CCTV13,http://120.238.5.44:1698/hls/27/index.m3u8
CCTV14,http://120.238.5.44:1698/hls/28/index.m3u8
CCTV15,http://120.238.5.44:1698/hls/29/index.m3u8
CCTV16,http://120.238.5.44:1698/hls/77/index.m3u8
CCTV17,http://120.238.5.44:1698/hls/30/index.m3u8
CHC家庭影院,http://120.238.5.44:1698/hls/69/index.m3u8
CHC动作电影,http://120.238.5.44:1698/hls/70/index.m3u8
CETV1,http://120.238.5.44:1698/hls/47/index.m3u8

山东卫视,http://120.238.5.44:1698/hls/31/index.m3u8
湖北卫视,http://120.238.5.44:1698/hls/32/index.m3u8
辽宁卫视,http://120.238.5.44:1698/hls/33/index.m3u8
河南卫视,http://120.238.5.44:1698/hls/34/index.m3u8
河北卫视,http://120.238.5.44:1698/hls/35/index.m3u8
广西卫视,http://120.238.5.44:1698/hls/36/index.m3u8
吉林卫视,http://120.238.5.44:1698/hls/37/index.m3u8
广东卫视,http://120.238.5.44:1698/hls/8/index.m3u8
大湾区卫视,http://120.238.5.44:1698/hls/11/index.m3u8
甘肃卫视,http://120.238.5.44:1698/hls/38/index.m3u8
茶频道,http://120.238.5.44:1698/hls/39/index.m3u8
快乐垂钓,http://120.238.5.44:1698/hls/40/index.m3u8
四川卫视,http://120.238.5.44:1698/hls/41/index.m3u8
重庆卫视,http://120.238.5.44:1698/hls/42/index.m3u8
云南卫视,http://120.238.5.44:1698/hls/43/index.m3u8
东南卫视,http://120.238.5.44:1698/hls/44/index.m3u8
海南卫视,http://120.238.5.44:1698/hls/45/index.m3u8
贵州卫视,http://120.238.5.44:1698/hls/46/index.m3u8
内蒙古卫视,http://120.238.5.44:1698/hls/48/index.m3u8
新疆卫视,http://120.238.5.44:1698/hls/49/index.m3u8
陕西卫视,http://120.238.5.44:1698/hls/50/index.m3u8
山西卫视,http://120.238.5.44:1698/hls/51/index.m3u8
兵团卫视,http://120.238.5.44:1698/hls/52/index.m3u8
青海卫视,http://120.238.5.44:1698/hls/53/index.m3u8
金鹰卡通,http://120.238.5.44:1698/hls/54/index.m3u8
OCCM,http://120.238.5.44:1698/hls/59/index.m3u8
湖南卫视,http://120.238.5.44:1698/hls/60/index.m3u8
北京卫视,http://120.238.5.44:1698/hls/61/index.m3u8
深圳卫视,http://120.238.5.44:1698/hls/62/index.m3u8
安徽卫视,http://120.238.5.44:1698/hls/63/index.m3u8
浙江卫视,http://120.238.5.44:1698/hls/64/index.m3u8
广东经济科教,http://120.238.5.44:1698/hls/65/index.m3u8
天津卫视,http://120.238.5.44:1698/hls/66/index.m3u8
江西卫视,http://120.238.5.44:1698/hls/67/index.m3u8
东方卫视,http://120.238.5.44:1698/hls/72/index.m3u8
江苏卫视,http://120.238.5.44:1698/hls/73/index.m3u8
广东体育,http://120.238.5.44:1698/hls/75/index.m3u8
澳视澳门,http://120.238.5.44:1698/hls/76/index.m3u8
广东珠江,http://120.238.5.44:1698/hls/78/index.m3u8
惠来综合,http://120.238.5.44:1698/hls/79/index.m3u8
1A84,http://120.238.5.44:1698/hls/84/index.m3u8
凤凰卫视,http://120.238.5.44:1698/hls/85/index.m3u8
凤凰中文,http://120.238.5.44:1698/hls/86/index.m3u8
凤凰香港台,http://120.238.5.44:1698/hls/87/index.m3u8
TVB星河,http://120.238.5.44:1698/hls/88/index.m3u8
1A91,http://120.238.5.44:1698/hls/91/index.m3u8
🌏｜央卫测试频道,#genre#
CCTV1,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV2,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV3,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
CCTV4,http://43.156.8.127:5050/ysp?id=2029797103&pid=600001814&q=fhd
CCTV5,http://43.156.8.127:5050/ysp?id=2024078401&pid=600001818&q=fhd
CCTV5+,http://43.156.8.127:5050/ysp?id=2024078001&pid=600001817&q=fhd
CCTV6,http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV7,http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
CCTV8,http://43.156.8.127:5050/ysp?id=2029793001&pid=600001803&q=fhd
CCTV9,http://43.156.8.127:5050/ysp?id=2024078601&pid=600004078&q=fhd
CCTV10,http://43.156.8.127:5050/ysp?id=2024078701&pid=600001805&q=fhd
CCTV11,http://43.156.8.127:5050/ysp?id=2027248701&pid=600001806&q=fhd
CCTV12,http://43.156.8.127:5050/ysp?id=2027248801&pid=600001807&q=fhd
CCTV13,http://43.156.8.127:5050/ysp?id=2029797203&pid=600001811&q=fhd
CCTV14,http://43.156.8.127:5050/ysp?id=2027248901&pid=600001809&q=fhd
CCTV15,http://43.156.8.127:5050/ysp?id=2027249001&pid=600001815&q=fhd
CCTV16,http://43.156.8.127:5050/ysp?id=2027249101&pid=600098637&q=fhd
CCTV16(4K),http://43.156.8.127:5050/ysp?id=2027249301&pid=600099502&q=fhd
CCTV17,http://43.156.8.127:5050/ysp?id=2027249401&pid=600001810&q=fhd
CCTV4K,http://43.156.8.127:5050/ysp?id=2027249501&pid=600002264&q=fhd
CCTV8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
北京卫视,http://43.156.8.127:5050/ysp?id=2024052703&pid=600002309&q=fhd
